playername,playername_original,league,_source_year,split,position,teamname,talent_score,score_percentile,promoted_to_lec,win_rate,games_played,champion_pool_size,dpm_zscore,cspm_zscore,golddiffat15_zscore
sajator,SAJATOR,PRM,2026,Winter,mid,TeamOrangeGaming,0.6049694405401436,11.409395973154362,False,0.3333333333333333,6,4,-0.2986152730776717,-1.0321365565471563,-0.5584045024891456
seneca,Seneca,LFL,2026,unknown,sup,Lille Esport,0.6037110165210844,14.888888888888888,False,0.3333333333333333,12,5,-0.9842241382036392,-0.3281829707892617,-1.0665674994698933
sencux,Sencux,PRM,2026,unknown,mid,Eintracht Frankfurt,0.6034422605941259,11.185682326621924,False,0.4444444444444444,9,9,-0.6210162028517955,0.6751854997331945,-0.3450075043024443
faetski,Faetski,NLC,2025,Winter,bot,DMG Esports,0.603019875266545,13.596491228070176,False,0.2,10,7,-0.0697120793582856,0.0917917725023679,-1.4872965046907738
sjakal,Sjakal,NLC,2025,Summer,jng,KAOS e-sport,0.5997031536868911,14.00437636761488,False,0.1111111111111111,9,6,0.1966063255189546,-1.739678292006839,-1.1374643159376736
densygekamel69,DenSygeKamel69,NLC,2025,unknown,jng,Bitfix Gaming,0.5991136510638776,13.785557986870897,False,0.3333333333333333,6,4,-0.6535792718487494,1.8338788299887776,0.4848845571226896
nrmn,nrmn,LFL2,2025,Winter,bot,Zerance,0.5979115044191358,13.37719298245614,False,0.375,8,5,-2.1942572511273872,-0.6358444203702618,-1.4695337543662423
stansfield,Stansfield,TCL,2026,Summer,bot,Shark Attack,0.596937489902588,13.157894736842104,False,0.2222222222222222,9,6,-1.1646427701361934,-2.3248793144518807,-2.2051762002810844
calmsky,Calmsky,NLC,2025,Winter,sup,DMG Esports,0.5953083045815318,14.666666666666666,False,0.2,10,7,-0.0569373570500904,-0.8242470772680858,-1.2909552918032294
santorin,Santorin,PRM,2025,unknown,jng,Eintracht Spandau,0.5950246761900306,13.566739606126916,False,0.6,5,5,-1.1546911579127843,-1.1471849756363908,-1.0496180481347333
forslund,Forslund,NLC,2025,unknown,mid,B2U,0.5949285605857852,10.961968680089486,False,0.5,8,7,-1.1716985659022898,1.212020076827222,-0.0582753428058044
whiteinn,whiteinn,LVP SL,2025,Summer,sup,Barça eSports,0.5943052573435825,14.444444444444443,False,0.2307692307692307,13,9,-0.2395039262916235,-0.6511004691589085,-1.0350119336625727
